episode,step,result,reward,duration,kills,kills_zombie,kills_cone,kills_bucket,clicks,suns_collected,gravebusters,cherries,ices,mowers_used
1,432,LOSS,-33.30,198.8,180,113,43,24,304,30,6,1,4,2
2,937,WIN,-5.90,223.3,213,141,46,26,313,45,10,1,3,2
3,1391,WIN,6.35,218.4,218,132,52,34,351,37,9,1,2,1
4,1672,LOSS,-24.50,117.5,76,59,9,8,107,26,7,0,2,2
5,2064,LOSS,-17.40,171.8,157,115,32,10,187,42,8,2,3,2
6,2532,WIN,10.10,226.8,223,139,53,31,324,59,14,2,3,2
7,2959,LOSS,-34.30,204.6,175,112,37,26,283,45,12,1,3,2
8,3381,LOSS,-37.35,206.2,189,113,45,31,314,41,7,3,2,3
9,3874,WIN,-6.80,232.1,226,134,59,33,348,60,9,3,4,3
10,4328,WIN,23.15,221.0,241,147,64,30,320,49,6,3,5,0
11,4845,WIN,35.95,229.2,254,162,62,30,320,55,9,3,5,0
12,5363,WIN,-1.20,241.3,242,150,56,36,376,53,8,3,4,2
13,5850,WIN,-1.60,222.7,221,142,52,27,331,30,6,1,3,3
14,6353,WIN,-13.40,227.7,203,129,47,27,324,39,8,1,4,4
15,6857,WIN,30.80,238.6,252,159,55,38,334,62,11,3,4,0
16,7361,WIN,30.05,240.3,256,156,62,38,349,48,6,3,4,0
17,7810,WIN,11.55,222.1,234,136,67,31,352,42,7,2,3,0
18,8264,WIN,5.70,220.5,234,127,71,36,360,50,9,2,4,1
19,8732,WIN,5.80,214.3,212,132,47,33,353,38,7,1,4,1
20,9241,WIN,-12.10,233.7,222,150,40,32,371,37,9,1,2,3
21,9701,LOSS,-47.05,222.9,205,126,52,27,325,51,12,2,2,4
22,10198,WIN,37.20,237.5,259,162,60,37,349,70,11,3,5,0
23,10696,WIN,6.20,244.6,250,143,67,40,392,49,8,2,5,2
24,11212,WIN,2.75,247.9,246,155,58,33,349,67,11,3,5,2
25,11690,WIN,-12.40,223.3,216,144,42,30,344,32,6,1,3,3
26,12134,WIN,-5.05,218.6,216,136,47,33,324,37,6,2,3,3
27,12612,WIN,34.40,231.8,256,156,71,29,338,56,6,3,6,0
28,13114,WIN,29.20,231.0,250,153,62,35,335,66,9,3,4,0
29,13517,LOSS,-32.70,190.8,170,111,42,17,269,42,10,1,3,1
30,14033,WIN,-8.15,238.0,235,138,71,26,349,53,10,3,2,3
31,14520,WIN,27.95,233.6,245,158,63,24,338,53,9,2,5,0
32,15011,WIN,8.30,222.5,238,142,66,30,358,40,9,2,1,0
33,15510,WIN,36.00,242.1,258,150,69,39,385,56,8,3,4,0
34,16026,WIN,-21.45,233.7,199,130,48,21,322,35,7,1,4,5
35,16487,WIN,-5.95,222.3,237,143,66,28,354,50,7,2,3,2
36,16940,WIN,15.00,222.4,227,141,55,31,335,52,9,2,3,1
37,17398,WIN,30.80,226.6,237,141,63,33,365,50,8,2,4,0
38,17874,WIN,38.00,224.8,240,145,59,36,326,67,9,3,3,0
39,18385,WIN,-18.05,239.6,200,126,56,18,325,43,8,1,6,4
40,18829,WIN,-6.70,210.2,214,139,51,24,312,39,8,1,3,3
41,19303,WIN,-6.50,228.1,225,133,54,38,349,61,11,3,4,3
42,19800,WIN,25.95,237.1,251,148,68,35,354,65,8,3,4,0
43,20294,WIN,-10.75,229.5,218,151,42,25,346,50,13,1,3,1
44,20753,WIN,38.30,218.5,237,145,64,28,304,72,12,3,4,0
45,21238,WIN,29.80,240.2,255,140,80,35,378,48,8,2,5,0
46,21696,WIN,32.55,222.7,239,142,62,35,338,60,7,3,4,0
47,22225,WIN,-7.30,256.0,240,156,49,35,348,55,12,2,4,3
48,22680,WIN,31.35,221.1,237,136,72,29,332,50,10,2,3,0
49,23154,WIN,14.85,229.7,230,135,52,43,385,52,9,2,4,1
50,23623,WIN,30.55,224.0,234,140,64,30,339,47,8,2,3,0
51,24126,WIN,-11.30,236.7,225,151,43,31,348,33,6,1,4,3
52,24657,WIN,3.35,247.4,222,148,46,28,352,41,9,1,3,2
53,25145,WIN,10.80,242.1,248,142,67,39,373,56,9,2,4,1
54,25476,LOSS,-25.90,151.9,117,73,31,13,181,44,10,1,2,2
55,25967,WIN,9.75,234.0,242,146,62,34,358,42,5,3,4,1
56,26435,WIN,-26.65,221.5,209,137,43,29,340,34,4,2,2,4
57,26926,WIN,26.50,237.1,257,168,60,29,348,71,9,2,4,0
58,27429,WIN,20.80,233.8,254,157,62,35,357,59,6,3,4,0
59,27937,WIN,12.85,244.5,264,157,58,49,382,50,8,2,4,1
60,28417,WIN,35.10,220.4,247,149,68,30,305,57,8,3,4,0
61,28918,WIN,-2.05,233.6,233,147,56,30,333,57,11,2,3,3
62,29386,LOSS,-37.05,212.3,174,121,31,22,261,45,12,1,2,3
63,29906,WIN,-2.75,247.4,252,158,68,26,386,57,13,1,4,3
64,30365,WIN,12.05,220.4,234,151,49,34,334,44,7,2,4,1
65,30893,WIN,4.00,252.2,260,151,71,38,449,36,9,1,1,0
66,31373,WIN,1.00,224.9,217,134,53,30,339,41,7,2,3,3
67,31865,WIN,12.45,231.7,235,139,73,23,363,52,8,2,3,1
68,32352,WIN,19.60,225.4,235,152,60,23,335,65,7,2,3,0
69,32828,WIN,29.25,228.9,245,149,59,37,350,44,5,3,4,0
70,33313,WIN,24.40,234.7,248,162,49,37,345,55,8,3,4,0
71,33756,LOSS,-26.75,209.9,192,119,48,25,289,45,10,2,3,2
72,34245,WIN,33.85,224.7,234,141,55,38,326,60,6,3,4,0
73,34728,WIN,29.75,231.8,236,141,64,31,355,47,10,2,3,0
74,35226,WIN,15.80,238.2,246,150,53,43,374,49,8,2,4,0
75,35697,WIN,27.55,229.4,257,147,68,42,345,64,7,3,4,0
76,36151,WIN,14.65,227.9,236,147,46,43,391,38,6,1,5,0
77,36651,WIN,16.75,240.4,256,141,74,41,394,43,8,2,3,1
78,37135,WIN,30.35,238.4,259,146,70,43,362,61,10,3,4,0
79,37617,WIN,5.85,223.5,245,155,61,29,333,60,8,3,3,2
80,38118,WIN,4.70,226.5,219,140,58,21,340,37,8,1,3,2
81,38596,WIN,22.25,236.7,243,151,56,36,389,44,8,1,4,0
82,39047,WIN,31.10,217.5,235,142,58,35,323,55,7,3,4,0
83,39514,WIN,23.10,224.8,237,145,53,39,360,39,5,2,3,0
84,40014,WIN,37.40,230.5,261,161,63,37,354,62,8,3,4,0
85,40525,WIN,18.55,236.9,246,168,42,36,346,43,8,2,3,1
86,41004,WIN,33.55,229.3,248,160,50,38,337,59,9,3,4,0
87,41476,WIN,2.85,226.7,235,137,64,34,350,65,9,2,3,2
88,41983,WIN,38.00,240.1,262,165,66,31,334,66,9,3,4,0
89,42384,LOSS,-20.90,164.6,127,91,20,16,180,31,7,1,2,2
90,42893,WIN,31.60,234.1,257,170,56,31,338,58,10,3,4,0
91,43355,WIN,30.25,214.6,234,143,61,30,301,67,8,3,4,0
92,43876,WIN,15.05,241.3,245,166,53,26,338,53,10,3,2,2
93,44321,WIN,27.95,217.4,236,144,61,31,316,59,8,3,4,0
94,44788,WIN,38.35,213.7,236,147,61,28,295,59,8,3,3,0
95,45264,WIN,40.40,219.7,252,161,56,35,294,79,12,3,3,0
96,45754,WIN,25.90,231.8,239,141,64,34,378,46,7,2,4,0
97,46270,WIN,-1.15,250.4,245,147,64,34,388,36,7,1,4,3
98,46715,WIN,34.70,213.3,239,144,51,44,317,57,8,3,4,0
99,47212,WIN,37.75,229.7,252,158,65,29,321,67,10,3,5,0
100,47664,WIN,-4.85,224.2,233,147,61,25,353,46,8,2,3,2
101,48106,LOSS,-43.50,218.1,202,118,49,35,331,39,9,1,3,3
102,48591,WIN,32.35,232.5,245,143,66,36,372,47,6,2,3,0
103,49070,WIN,16.95,237.8,238,134,58,46,374,55,10,3,3,1
104,49520,WIN,37.45,213.6,243,142,71,30,305,49,7,3,3,0
105,50012,WIN,25.70,232.1,244,139,67,38,362,51,8,2,4,0
106,50487,WIN,19.20,228.3,235,144,58,33,355,57,7,2,3,1
107,50950,WIN,16.20,229.3,234,133,62,39,376,44,6,2,4,0
108,51424,WIN,40.25,223.5,248,158,51,39,326,73,10,3,3,0
109,51853,LOSS,-14.35,185.8,162,99,44,19,256,38,10,1,2,1
110,52307,WIN,17.45,226.3,236,141,68,27,350,49,9,2,5,1
111,52831,WIN,30.65,251.4,262,145,77,40,399,64,9,2,4,0
112,53304,WIN,34.35,227.5,260,151,70,39,341,68,6,3,5,0
113,53665,LOSS,-30.35,164.1,137,80,38,19,227,27,6,1,2,2
114,54124,WIN,36.90,209.4,240,140,61,39,305,60,9,3,3,0
115,54660,WIN,-10.05,250.4,248,161,52,35,392,51,8,2,3,4
116,55172,WIN,22.10,244.1,257,161,49,47,402,59,9,2,4,0
117,55667,WIN,35.15,237.6,259,163,62,34,346,67,7,3,5,0
118,56117,WIN,38.40,217.3,254,154,62,38,299,65,13,3,4,0
119,56639,WIN,21.95,253.3,265,155,76,34,408,42,6,2,4,0
120,57121,WIN,37.80,226.5,250,150,61,39,335,71,5,3,4,0
121,57552,WIN,14.05,213.2,228,141,54,33,305,46,8,2,3,2
122,58087,WIN,37.10,253.0,260,169,55,36,352,72,12,3,3,0
