episode,step,result,reward,duration,kills,kills_zombie,kills_cone,kills_bucket,clicks,suns_collected,gravebusters,cherries,ices,mowers_used
123,58595,WIN,-2.10,244.3,251,152,60,39,393,57,10,2,3,2
124,59057,WIN,-8.15,232.1,225,139,58,28,350,56,10,2,4,4
125,59554,WIN,34.00,238.9,251,169,61,21,351,54,10,2,4,0
126,60034,WIN,34.90,227.0,244,146,59,39,334,75,6,3,4,0
127,60485,LOSS,-21.85,221.3,221,149,42,30,311,55,13,2,2,1
128,60984,WIN,1.15,240.9,240,147,61,32,377,55,12,2,4,2
129,61457,WIN,-2.35,235.0,244,154,53,37,339,55,11,3,2,3
130,61935,WIN,38.90,226.5,248,144,59,45,326,68,10,3,4,0
131,62459,WIN,32.00,255.8,270,177,55,38,374,55,8,3,4,0
132,62893,WIN,32.10,218.2,239,137,60,42,314,71,9,3,4,0
133,63372,WIN,20.20,234.9,246,146,64,36,334,59,10,3,4,2
134,63846,WIN,32.50,223.9,247,143,63,41,339,60,10,3,4,0
135,64362,WIN,43.75,233.5,267,157,69,41,323,78,11,3,4,0
136,64815,WIN,-16.15,211.6,212,132,52,28,349,29,6,1,2,3
137,65339,WIN,19.45,247.0,261,152,66,43,404,50,7,3,4,1
138,65782,WIN,7.90,205.9,207,136,49,22,292,47,10,2,2,2
139,66251,WIN,36.75,220.5,237,138,71,28,319,67,10,3,4,0
140,66728,WIN,37.75,222.5,242,138,69,35,337,63,8,3,4,0
141,67223,WIN,15.40,242.8,261,159,72,30,375,60,10,3,3,0
142,67739,WIN,-13.85,239.8,222,149,43,30,342,44,8,2,3,4
143,68204,WIN,31.55,223.0,242,141,68,33,325,51,9,3,4,0
144,68725,WIN,28.75,241.9,251,150,63,38,390,50,8,2,4,0
145,69176,WIN,34.75,221.4,242,141,62,39,322,64,12,3,4,0
146,69682,WIN,22.10,240.5,258,165,62,31,373,41,7,2,4,0
147,70191,WIN,26.00,238.8,247,150,62,35,348,64,11,2,3,0
148,70676,WIN,-7.65,227.5,233,143,65,25,356,55,11,2,3,3
149,71178,WIN,17.35,235.1,257,153,68,36,384,47,6,3,4,0
150,71660,WIN,18.30,240.4,241,138,67,36,375,46,10,2,3,1
151,72158,WIN,9.45,238.8,233,135,59,39,378,51,8,2,4,1
152,72589,WIN,30.65,212.7,242,158,48,36,315,55,9,3,3,0
153,73089,WIN,21.95,229.9,252,173,47,32,326,51,6,3,4,0
154,73599,WIN,42.10,237.0,260,160,62,38,335,69,9,3,4,0
155,74057,WIN,29.85,221.5,237,136,62,39,365,45,7,2,3,0
156,74524,WIN,3.65,228.4,243,135,72,36,346,45,8,3,2,2
157,75035,WIN,-3.00,223.1,195,120,45,30,301,43,8,2,3,3
158,75479,LOSS,-30.20,203.2,187,124,47,16,263,34,8,2,1,3
159,75996,WIN,31.85,242.0,255,154,61,40,382,53,7,3,4,0
160,76500,WIN,18.90,251.4,253,149,67,37,377,62,13,2,4,1
161,76968,WIN,35.40,227.1,256,149,68,39,316,65,10,3,4,0
162,77334,LOSS,-26.00,173.9,152,87,47,18,249,25,6,1,2,2
163,77818,WIN,20.30,227.9,250,160,55,35,364,45,7,2,4,0
164,78315,WIN,23.70,236.9,250,160,58,32,379,38,6,2,4,0
165,78838,WIN,27.05,252.4,261,154,72,35,402,51,8,2,4,0
166,79336,WIN,23.70,236.1,258,163,57,38,367,56,9,3,4,0
167,79691,LOSS,-18.50,156.7,138,82,44,12,227,22,6,1,1,1
168,80101,LOSS,-33.80,193.6,178,115,40,23,277,32,6,2,2,3
169,80599,WIN,41.35,238.7,265,157,70,38,341,66,10,3,4,0
170,81037,WIN,-14.20,207.7,204,138,38,28,318,28,7,1,1,3
171,81534,WIN,27.95,231.1,250,160,61,29,346,55,7,3,4,0
172,82005,WIN,-10.45,225.8,219,127,61,31,348,56,12,2,4,3
173,82434,LOSS,-47.55,212.0,191,130,41,20,299,33,7,1,4,3
174,82912,WIN,-5.80,225.4,231,149,49,33,367,37,5,2,3,2
175,83409,WIN,31.95,224.5,247,169,57,21,315,56,7,3,4,0
176,83900,WIN,4.55,234.2,243,148,62,33,335,49,8,3,4,2
177,84353,WIN,23.35,233.7,244,133,70,41,328,63,11,3,4,1
178,84816,WIN,28.05,225.2,235,143,57,35,351,41,7,1,3,0
179,85343,WIN,25.00,251.0,260,168,62,30,380,53,11,2,4,1
180,85826,WIN,4.45,230.0,229,149,50,30,350,41,9,1,3,1
181,86308,WIN,31.75,231.6,254,145,71,38,341,68,10,3,4,1
182,86825,WIN,37.15,245.8,264,160,60,44,355,70,9,3,4,0
183,87336,WIN,40.35,239.5,256,137,72,47,398,57,7,2,3,0
184,87838,WIN,33.65,240.4,259,162,61,36,342,67,10,3,3,0
185,88304,WIN,32.00,227.9,246,147,63,36,352,53,8,3,4,0
186,88813,WIN,41.45,240.8,262,156,67,39,354,79,10,3,4,0
187,89301,WIN,37.70,233.6,254,144,66,44,367,63,10,3,4,0
188,89803,WIN,31.50,230.2,246,156,66,24,361,52,9,2,2,0
189,90273,WIN,-1.80,229.4,234,139,62,33,359,38,6,2,3,2
190,90758,WIN,12.05,231.1,235,150,53,32,335,62,13,2,3,2
191,91299,WIN,39.75,249.0,275,168,74,33,355,66,8,3,4,0
192,91818,WIN,19.45,245.2,249,153,56,40,379,55,6,2,3,0
193,92331,WIN,38.75,231.8,259,163,61,35,338,59,9,3,5,0
194,92848,WIN,1.15,247.7,248,145,72,31,385,36,5,2,4,2
195,93320,WIN,34.00,218.8,262,164,65,33,301,68,13,3,4,0
196,93760,WIN,29.45,205.8,231,134,64,33,287,60,8,3,4,1
197,94265,WIN,35.35,243.5,255,149,63,43,395,62,8,2,4,0
198,94747,WIN,32.60,235.2,249,147,63,39,361,53,7,3,4,0
199,95163,LOSS,-7.50,189.5,185,113,44,28,280,35,6,2,2,1
200,95677,WIN,34.95,240.6,264,157,57,50,363,54,7,3,3,0
201,96170,WIN,41.40,226.4,255,156,62,37,305,80,14,3,4,0
202,96543,LOSS,-32.80,163.4,120,88,23,9,183,52,14,1,2,3
203,97059,WIN,34.80,246.6,252,145,67,40,394,66,9,3,4,0
204,97518,WIN,15.20,215.2,227,147,45,35,340,35,4,2,3,1
205,98020,WIN,34.60,239.8,265,163,66,36,349,54,8,3,3,0
206,98485,WIN,-0.80,229.8,223,136,51,36,366,46,11,1,3,2
207,98992,WIN,34.45,232.2,260,161,55,44,327,60,11,3,3,0
208,99403,LOSS,-33.20,180.7,146,100,33,13,207,42,8,2,2,3
209,99879,WIN,19.50,233.8,243,141,75,27,340,66,9,3,5,0
210,100334,LOSS,-44.55,213.3,180,105,52,23,290,49,8,2,5,3
211,100613,LOSS,-31.25,122.6,83,52,23,8,131,26,9,0,1,2
212,101135,WIN,34.65,243.3,264,168,62,34,345,57,6,3,4,0
213,101596,WIN,-20.90,218.1,218,137,53,28,337,37,6,2,3,3
214,102089,WIN,13.55,234.2,232,139,65,28,346,55,11,2,4,2
215,102623,WIN,31.45,255.2,268,161,75,32,385,65,8,3,4,0
216,103118,LOSS,-53.20,222.0,195,125,43,27,326,33,7,1,3,4
217,103571,WIN,21.55,221.1,227,147,55,25,291,69,10,3,4,1
218,104047,WIN,24.15,228.0,234,154,42,38,321,53,7,3,3,1
219,104519,WIN,34.00,229.3,256,152,60,44,331,66,9,3,4,0
220,104992,WIN,32.80,218.5,241,153,52,36,310,65,8,3,4,0
221,105468,WIN,-4.60,228.1,227,137,51,39,369,63,10,2,3,2
222,105982,WIN,-4.85,243.5,230,142,52,36,372,46,10,1,4,2
223,106345,LOSS,-20.65,158.9,138,91,24,23,224,27,6,1,1,2
224,106799,WIN,39.15,220.3,248,142,66,40,319,66,9,3,4,0
225,107277,WIN,-7.75,220.3,221,147,45,29,323,44,5,2,3,3
226,107739,WIN,29.65,220.9,245,149,68,28,324,48,6,3,5,0
227,108265,WIN,10.00,240.7,245,158,51,36,364,67,11,4,3,1
228,108718,WIN,28.45,222.5,255,153,73,29,323,63,9,3,4,0
229,109096,LOSS,-12.90,168.2,157,106,27,24,220,42,5,2,2,1
230,109561,WIN,18.05,227.3,230,130,62,38,347,49,8,2,5,1
