episode,step,result,reward,duration,kills,kills_zombie,kills_cone,kills_bucket,clicks,suns_collected,gravebusters,cherries,ices,mowers_used
85,41136,WIN,13.50,246.1,257,158,69,30,384,36,5,2,3,1
86,41597,LOSS,-28.95,192.5,160,112,29,19,239,27,6,1,2,2
87,42113,WIN,33.25,242.3,253,168,51,34,336,64,8,3,4,0
88,42552,WIN,33.55,215.9,245,136,63,46,341,59,6,3,4,0
89,43034,WIN,40.00,219.6,255,158,63,34,322,55,10,3,3,0
90,43493,WIN,-4.45,224.6,220,137,52,31,325,49,8,3,3,4
91,43868,LOSS,-26.35,174.6,140,95,26,19,209,54,10,2,2,2
92,44332,WIN,37.90,218.8,245,145,63,37,320,67,10,3,4,0
93,44862,WIN,-2.75,259.7,266,158,77,31,403,66,8,2,3,1
94,45413,WIN,35.30,256.1,268,174,64,30,388,56,11,2,4,0
95,45917,WIN,3.85,232.1,246,157,55,34,377,38,4,3,3,1
96,46446,WIN,36.40,233.2,252,161,60,31,331,51,7,3,3,0
97,46920,WIN,29.75,222.1,235,144,53,38,343,52,11,2,3,1
98,47395,WIN,27.25,235.6,255,158,65,32,354,65,11,3,4,0
99,47851,WIN,37.05,217.7,248,148,62,38,324,57,8,3,3,0
100,48177,LOSS,-17.45,147.8,121,87,19,15,174,32,9,1,1,1
101,48647,WIN,20.65,218.0,239,142,64,33,323,44,6,3,3,1
102,49150,WIN,22.85,239.9,243,140,65,38,353,66,11,3,4,1
103,49571,LOSS,-7.60,189.6,186,114,43,29,253,45,10,2,2,1
104,50013,WIN,-12.05,217.2,217,149,42,26,329,28,5,1,4,3
105,50488,WIN,-1.00,240.7,243,150,58,35,382,49,9,2,3,1
106,50991,WIN,14.00,244.3,252,162,60,30,359,66,11,2,3,0
107,51503,WIN,36.05,241.3,255,163,61,31,328,80,11,3,5,0
108,52021,WIN,31.10,244.9,262,166,65,31,335,74,12,3,5,0
109,52499,WIN,14.15,234.5,241,159,47,35,347,65,10,3,4,1
110,52937,WIN,-2.05,215.8,219,130,49,40,352,41,6,2,3,2
111,53432,WIN,26.55,232.7,254,148,72,34,373,53,6,3,2,0
112,53923,WIN,26.70,233.7,249,163,52,34,360,56,10,2,4,0
113,54383,WIN,16.95,225.4,241,142,62,37,374,41,7,2,3,0
114,54888,WIN,36.60,230.8,254,149,69,36,336,62,8,3,3,0
115,55374,WIN,15.30,231.7,255,155,70,30,359,49,6,3,5,1
116,55861,WIN,3.60,235.0,244,146,51,47,380,37,6,2,2,1
117,56407,WIN,-2.80,262.8,242,152,54,36,410,45,9,1,6,3
118,56931,WIN,-0.15,252.3,243,149,55,39,394,61,7,2,3,2
119,57260,LOSS,-30.55,150.0,103,65,24,14,175,35,12,0,1,2
120,57741,WIN,37.60,233.1,255,153,63,39,334,74,8,3,3,0
121,58199,WIN,1.80,221.1,232,142,63,27,310,52,5,3,5,2
122,58686,WIN,17.40,237.8,250,143,72,35,356,58,9,3,4,2
123,59136,LOSS,-28.75,211.0,181,122,44,15,285,41,9,1,2,2
124,59627,WIN,8.50,227.4,234,151,52,31,319,43,8,2,4,3
125,60139,WIN,24.65,242.8,248,157,57,34,369,53,9,2,4,0
126,60648,WIN,37.60,228.4,244,163,57,24,332,50,7,2,5,0
127,61198,WIN,40.30,242.6,267,168,62,37,323,78,8,3,5,0
128,61676,WIN,41.25,226.7,247,147,62,38,308,73,11,3,5,0
129,62170,WIN,-2.35,225.5,222,147,44,31,320,49,8,2,4,1
130,62686,WIN,13.45,251.2,244,151,63,30,377,65,10,3,5,2
131,63224,WIN,40.10,247.1,264,166,53,45,370,63,8,3,4,0
132,63714,LOSS,-38.85,214.8,178,121,31,26,294,26,7,0,2,3
133,64170,WIN,-11.10,222.8,208,116,57,35,339,48,10,2,3,4
134,64652,WIN,35.90,229.6,252,156,64,32,338,50,5,3,5,0
135,65166,WIN,5.35,242.9,242,156,50,36,394,49,11,1,3,1
136,65630,WIN,13.60,222.3,235,139,63,33,387,33,5,2,3,1
