episode,result,duration,kills,clicks,suns,gravebusters,cherries,ices,mowers,closest_approach,danger_near
105,WIN,251.0,265,472,31,8,0,0,2,-0.61,39
106,WIN,250.8,255,433,17,7,0,0,0,0.11,4
107,WIN,225.8,247,380,32,7,0,0,0,0.95,3
108,WIN,245.6,267,426,21,7,0,0,0,0.37,5
109,WIN,225.3,237,399,33,9,0,0,0,0.55,5
110,WIN,225.2,241,399,27,10,0,0,0,0.21,36
111,WIN,223.8,240,412,13,6,0,0,0,0.86,2
112,WIN,239.3,252,428,21,6,0,0,1,-0.60,25
113,WIN,229.1,244,390,17,6,0,0,0,0.99,1
114,WIN,226.5,246,391,29,8,0,0,0,0.80,3
115,WIN,233.3,251,444,23,8,0,0,0,0.89,3
116,WIN,231.8,245,395,22,7,0,0,0,0.58,7
117,WIN,256.7,263,445,27,8,0,0,2,-0.61,63
118,WIN,246.7,256,428,22,6,0,0,0,-0.32,31
119,WIN,227.7,247,391,21,8,0,0,0,0.97,1
120,WIN,240.3,252,409,35,11,0,0,0,1.24,0
121,WIN,246.9,242,427,25,9,0,0,3,-0.61,24
122,WIN,262.2,264,489,20,7,0,0,1,-0.60,36
123,WIN,238.9,257,447,30,9,0,0,0,0.31,2
124,WIN,241.3,253,430,42,11,0,0,0,0.50,3
125,WIN,244.9,256,421,38,12,0,0,0,1.11,0
126,WIN,224.5,244,403,30,7,0,0,0,-0.20,27
127,WIN,238.7,256,414,21,7,0,0,0,1.21,0
128,WIN,248.4,263,427,22,7,0,0,0,0.62,7
129,WIN,253.3,254,468,35,10,0,0,1,-0.60,57
130,WIN,230.5,241,403,23,8,0,0,0,0.72,6
131,WIN,252.8,262,442,24,7,0,0,0,0.08,61
132,WIN,224.7,248,387,31,10,0,0,0,2.98,0
133,WIN,234.1,241,429,27,10,0,0,0,0.61,13
134,WIN,219.9,234,401,25,8,0,0,1,-0.61,20
135,WIN,227.4,240,394,26,9,0,0,0,1.31,0
136,WIN,251.9,267,436,18,7,0,0,0,0.48,12
137,WIN,245.3,257,426,23,8,0,0,0,0.41,7
138,WIN,247.5,259,444,25,8,0,0,0,0.22,9
139,WIN,239.4,257,425,24,9,0,0,0,1.85,0
140,WIN,244.1,255,409,36,9,0,0,0,0.78,5
141,WIN,248.7,259,423,21,8,0,0,0,0.20,23
142,WIN,226.2,245,411,23,6,0,0,0,0.97,2
143,WIN,255.1,260,460,30,8,0,0,0,-0.29,21
144,WIN,245.4,255,415,35,10,0,0,0,0.95,1
145,WIN,245.8,263,418,29,9,0,0,0,1.16,0
146,WIN,228.0,240,382,29,8,0,0,0,0.69,5
147,WIN,236.6,251,405,27,9,0,0,0,1.00,1
148,WIN,235.9,247,437,18,6,0,0,0,-0.30,57
149,WIN,224.1,235,409,22,7,0,0,0,0.75,3
150,WIN,228.8,235,389,23,9,0,0,1,-0.60,29
