episode,result,duration,kills,clicks,suns,gravebusters,potato_mines,ices,mowers,closest_approach,danger_near
105,WIN,236.2,240,387,34,5,5,3,0,0.44,5
106,WIN,252.1,240,390,55,6,4,4,0,2.02,0
107,WIN,229.5,221,368,61,7,4,2,0,1.23,0
108,WIN,229.2,217,361,48,5,5,4,0,1.77,0
109,WIN,223.7,225,376,43,5,5,3,0,0.94,1
110,WIN,221.8,225,367,52,7,4,3,0,0.60,3
111,WIN,229.9,216,382,44,4,6,3,0,0.27,22
112,WIN,226.7,216,372,64,7,4,4,0,0.88,2
113,WIN,245.1,239,390,30,4,5,3,0,0.23,28
114,WIN,252.7,236,407,74,8,5,4,0,1.23,0
115,WIN,241.9,238,410,41,5,5,3,0,0.16,13
116,WIN,221.1,221,356,66,7,4,3,0,1.93,0
117,WIN,251.0,248,419,57,5,4,4,0,1.34,0
118,WIN,227.7,223,390,54,7,4,3,0,1.00,1
119,WIN,239.1,228,380,40,3,6,4,0,2.12,0
120,WIN,218.9,215,340,40,6,4,3,0,0.85,3
121,WIN,241.3,242,379,35,3,5,3,0,0.39,8
122,WIN,221.7,222,376,53,7,4,3,0,0.95,2
123,WIN,249.5,248,400,46,4,4,4,0,1.91,0
124,WIN,245.6,239,399,78,7,3,4,0,1.90,0
125,WIN,246.2,244,421,40,5,4,4,0,0.55,8
126,WIN,238.7,238,389,34,4,4,2,0,0.95,4
127,WIN,243.5,236,403,54,9,4,3,0,0.78,10
128,WIN,235.0,237,373,45,5,5,4,0,1.79,0
129,WIN,236.5,229,366,57,7,4,3,0,0.77,11
130,WIN,231.5,226,382,32,3,5,3,0,0.33,21
131,WIN,239.9,244,399,50,5,4,3,0,1.25,0
132,WIN,252.8,239,373,88,9,3,3,0,1.99,0
133,WIN,250.2,242,420,50,5,6,3,0,0.93,3
134,WIN,226.7,225,349,75,8,5,3,0,0.79,2
135,WIN,229.6,231,381,50,6,4,3,0,1.28,0
136,WIN,248.6,240,397,46,3,5,4,0,1.19,0
137,WIN,245.4,234,400,63,4,4,4,0,1.61,0
138,WIN,231.4,222,390,42,4,6,3,0,0.80,2
139,WIN,235.5,237,393,61,7,4,3,0,0.89,5
140,WIN,231.3,229,360,38,5,5,3,0,1.98,0
141,WIN,225.9,220,362,60,7,5,4,0,0.98,1
142,WIN,239.7,236,395,52,6,4,3,0,0.73,1
143,WIN,223.0,217,352,36,5,6,3,0,0.93,1
144,WIN,230.5,228,379,22,4,5,1,0,-0.06,25
145,WIN,244.1,235,387,64,6,4,4,0,1.99,0
146,WIN,233.0,233,376,41,4,4,3,0,0.10,16
147,WIN,244.5,234,388,64,8,3,3,0,1.93,0
148,WIN,235.8,232,390,61,5,3,4,0,0.91,5
149,WIN,248.3,240,403,46,5,5,3,0,0.88,3
150,WIN,221.9,221,359,40,5,4,4,0,1.34,0
