episode,result,duration,kills,clicks,suns,gravebusters,potato_mines,ices,mowers,closest_approach,danger_near
106,WIN,230.9,239,395,27,9,0,0,0,0.80,13
107,WIN,210.3,217,381,23,7,0,0,0,2.22,0
108,WIN,234.7,233,397,23,8,0,0,0,0.87,6
109,WIN,212.1,213,337,22,8,0,0,0,1.98,0
110,WIN,216.7,225,383,26,9,0,0,0,0.92,1
111,WIN,208.8,219,345,20,5,0,0,0,1.93,0
112,WIN,244.5,246,429,30,7,0,0,0,1.32,0
113,WIN,227.8,229,381,20,8,0,0,0,0.72,4
114,WIN,215.5,223,355,23,6,0,0,0,2.90,0
115,WIN,236.0,241,364,28,9,0,0,0,1.85,0
116,WIN,220.0,227,398,24,7,0,0,0,2.20,0
117,WIN,212.4,220,347,21,7,0,0,0,2.45,0
118,WIN,240.8,247,417,19,7,0,0,0,0.82,3
119,WIN,223.5,230,391,22,5,0,0,0,0.84,1
120,WIN,212.0,218,377,23,8,0,0,0,0.89,3
121,WIN,228.5,233,387,34,11,0,0,0,1.73,0
122,WIN,219.4,223,378,23,8,0,0,0,0.91,3
123,WIN,215.0,218,343,36,10,0,0,0,0.89,4
124,WIN,240.8,245,397,16,5,0,0,0,0.87,6
125,WIN,236.4,247,415,26,9,0,0,0,3.22,0
126,WIN,220.7,219,393,19,8,0,0,0,2.55,0
127,WIN,236.8,248,404,42,11,0,0,0,0.93,4
128,WIN,234.3,236,411,22,6,0,0,0,0.40,7
129,WIN,235.4,245,396,31,11,0,0,0,0.88,3
130,WIN,245.5,245,427,19,7,0,0,0,0.86,1
131,WIN,225.9,234,383,21,7,0,0,0,0.93,2
132,WIN,224.0,225,387,26,8,0,0,0,1.89,0
133,WIN,240.6,245,411,26,10,0,0,0,0.85,4
134,WIN,223.1,227,370,42,11,0,0,0,0.98,1
135,WIN,225.8,230,366,23,7,0,0,0,0.89,5
136,WIN,227.5,228,385,27,9,0,0,0,1.96,0
137,WIN,235.7,236,416,32,8,0,0,0,1.20,0
138,WIN,232.6,231,422,28,8,0,0,0,0.92,1
139,WIN,232.6,234,408,32,10,0,0,0,0.15,27
140,WIN,225.1,233,389,27,10,0,0,0,1.95,0
141,WIN,224.6,229,394,10,4,0,0,0,0.65,8
142,WIN,236.0,240,406,28,8,0,0,0,0.95,1
143,WIN,242.8,243,420,23,5,0,0,0,0.66,5
144,WIN,241.9,241,411,35,11,0,0,0,0.83,7
145,WIN,228.8,234,387,23,8,0,0,0,2.05,0
146,WIN,234.3,238,401,38,12,0,0,0,1.58,0
147,WIN,222.6,230,381,25,9,0,0,0,1.72,0
148,WIN,226.3,226,372,34,10,0,0,0,0.89,4
149,WIN,223.5,235,377,29,8,0,0,0,1.96,0
150,WIN,211.3,224,333,30,11,0,0,0,3.51,0
